Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,3.5,0,North,2065.0,2224.62,4000 Aana,4 years ago,150000000,Kathmandu,Naxal,20,
5,5,3.0,1,North East,2080.0,1411.78,2400 Sq. Feet,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
4,3,3.0,0,South,,855.62,N/A Aana,4 years ago,15000000,Lalitpur,Imadol,13,Gravelled
2,1,2.0,1,East,2073.0,1112.31,730 Sq. Feet,2 years ago,18000000,Kathmandu,Gothatar,13,Blacktopped
4,4,3.0,1,East,2078.0,1026.75,N/A Aana,2 years ago,21500000,Lalitpur,Imadol,13,Gravelled
5,5,2.5,1,North,2077.0,1711.25,2759 Aana,3 years ago,46000000,Kathmandu,Budhanilkantha,14,Concrete
4,5,2.5,2,South West,2080.0,2909.12,3246 Sq. Feet,2 months ago,65600000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,North,,1454.55,N/A Aana,4 years ago,19500000,Kathmandu,Basundhara,13,Blacktopped
2,1,1.5,1,South,2076.0,983.96,N/A Aana,4 years ago,11500000,Lalitpur,Tikathali,13,Gravelled
4,4,3.0,2,East,2078.0,1197.87,N/A Aana,2 years ago,24500000,Lalitpur,Imadol,13,Gravelled
3,4,,3,East,2072.0,1625.68,2500 Aana,4 years ago,35000000,Bhaktapur,Madhyapur Thimi,30,Blacktopped
4,4,2.5,2,South West,2074.0,1925.1499999999999,2000 Sq. Feet,2 months ago,41500000,Kathmandu,Sitapaila,20,Blacktopped
